id,created_at,text,media_url
268650705399713792,2012-11-14 09:44:54,b'RT @SenkoHipHop: -AHMIED! ENIEMIGOS! - DIOENDEEEE?!? 0-0 ACTIVIANDO DINIAMITAAAAA. (@elyas360) http://t.co/oHEAGF89',http://pbs.twimg.com/media/A7pv3UtCMAA2wsv.jpg
268021832500797442,2012-11-12 16:05:59,b'RT @bySaXxo: Yo no tengo el BO2 pero mientras vosotros jugais yo estoy con estas 2 :D http://t.co/gsT3Q24g',http://pbs.twimg.com/media/A7g0StECQAAPR1s.jpg
268006093693796352,2012-11-12 15:03:26,b'RT @JPSurvi: ASI SON TODOS LOS DEPENDIENTES DEL GAME QUE ESTAN ESPERANDO PERMISO PARA VENDER EL BO2 http://t.co/9TO4UxoK',http://pbs.twimg.com/media/A7gljXjCIAEGj10.jpg
267747779676344320,2012-11-11 21:56:59,b'RT @curiosidadesabe: ENORME! jaja. http://t.co/CAKwP7CR',http://pbs.twimg.com/media/A7Ndv2eCIAEnD-L.jpg
267736137341235200,2012-11-11 21:10:44,"b'RT @Barajas_el: Las rubias no son tontas, saben leer al rev\xc3\xa9s http://t.co/pAjZa4rk'",http://pbs.twimg.com/media/A7bsMtoCAAAWoAq.jpg
267378468503842816,2012-11-10 21:29:29,b'RT @MejoresTwits: Mi pou JAJAJAJAJA. http://t.co/zAfM6gVW',http://pbs.twimg.com/media/A7XrJg5CYAAxGGq.jpg
267301419688812544,2012-11-10 16:23:19,b'RT @MejoresTwits: Triste pero cierto... http://t.co/rKoYTjLS',http://pbs.twimg.com/media/A7MgrXhCYAAvpPe.jpg
266963693537992704,2012-11-09 18:01:19,"b'RT @LosGenoveses: Ricardo Costa, tal cual. http://t.co/bn0GUSaF'",http://pbs.twimg.com/media/A7RxR0aCAAEZW8-.jpg
266920070586982401,2012-11-09 15:07:58,b'RT @Ventajersey: Camiseta Nowitzki NBA AUTHENTIC REV30 versi\xc3\xb3n de Juego! Talla M 38\xe2\x82\xac Env\xc3\xado de 5 a 7 d\xc3\xadas inclu\xc3\xaddo! RT http://t.co/81WyiFbC',http://pbs.twimg.com/media/A7RKC5fCAAISAVC.jpg
266919443735654400,2012-11-09 15:05:29,b'RT @MejoresTwits: Feliz Viernes a todos menos a los microondas que se r\xc3\xaden de tu cara... http://t.co/OfzgLCIh',http://pbs.twimg.com/media/A7RJroPCEAEKmnF.jpg
266917783483342849,2012-11-09 14:58:53,b'RT @bysTaXx: Camuflaje de carbono en Black Ops 2!! RT!! http://t.co/ui1Ixmhj',http://pbs.twimg.com/media/A7RIGgiCIAA7WBL.jpg
266912374953496576,2012-11-09 14:37:23,b'RT @Ventajersey: NOVEDAD: \xc3\x81lbum NBA NCAA Liga Universitaria USA. https://t.co/9oiJzvx6 http://t.co/BNUO56li',http://pbs.twimg.com/media/A7RDAXeCAAAoCRG.jpg
266585927659425793,2012-11-08 17:00:12,b'RT @Nazamfe: Sus ojos &lt;3 http://t.co/CEJoMdkV',http://pbs.twimg.com/media/A7ITpBrCEAEld0L.jpg
266582353940447233,2012-11-08 16:46:00,"b'RT @Laura_RMCF: Ken con barba, ya s\xc3\xad que no se le puede pedir m\xc3\xa1s. http://t.co/XB6HWu9W'",http://pbs.twimg.com/media/A7MWtjHCYAAmjgI.jpg
266575816379473922,2012-11-08 16:20:02,b'RT @IamNadiaaaaa: Ten atenci\xc3\xb3n !!!! Dec\xc3\xada mi abuelo ....\n\n@alejodorowsky http://t.co/dkXh02YO',http://pbs.twimg.com/media/A7MNY-DCMAAFan2.jpg
